,kepid,kepler_name,kepoi_name,koi_disposition,koi_ror,koi_steff,koi_srad,koi_count,koi_num_transits,koi_prad,koi_fittype,koi_eccen,koi_period
5363,7102316,Kepler-351 d,K02028.03,CONFIRMED,0.02727,5642.0,0.846,3,8.0,2.52,LS+MCMC,0.0,142.545
5364,11518142,Kepler-1519 b,K03762.01,CONFIRMED,0.068165,5758.0,1.385,1,6.0,10.31,LS+MCMC,0.0,240.7990472
5376,10788461,Kepler-1530 b,K03925.02,CONFIRMED,0.017944,5678.0,1.303,3,36.0,2.55,LS+MCMC,0.0,2.5903958
5377,10788461,Kepler-1530 c,K03925.03,CONFIRMED,0.018891,5678.0,1.303,3,15.0,2.69,LS+MCMC,0.0,5.3235335
5396,12784167,Kepler-1522 b,K03848.01,CONFIRMED,0.016387,5763.0,0.842,1,722.0,1.51,LS+MCMC,0.0,1.847892736
5405,11253711,Kepler-1031 b,K01972.02,CONFIRMED,0.006849,5855.0,1.34,2,1072.0,1.0,LS+MCMC,0.0,1.226223959
5425,11709124,Kepler-154 e,K00435.04,CONFIRMED,0.014124,5688.0,0.971,6,324.0,1.5,LS+MCMC,0.0,3.93276627
5426,8505920,Kepler-1090 b,K02094.02,CONFIRMED,0.025242,5330.0,1.013,2,7.0,2.79,LS+MCMC,0.0,198.680859
5446,4242692,Kepler-1531 b,K03928.01,CONFIRMED,0.007741,6520.0,1.713,1,1178.0,1.45,LS+MCMC,0.0,1.138548215
5451,6105462,Kepler-1093 c,K02098.02,CONFIRMED,0.016065,6429.0,1.262,2,13.0,2.21,LS+MCMC,0.0,89.7224125
5470,10328393,Kepler-332 d,K01905.03,CONFIRMED,0.014665,4955.0,0.721,3,39.0,1.15,LS+MCMC,0.0,34.2115022
5487,5437945,Kepler-460 b,K03791.01,CONFIRMED,0.047554,6340.0,1.393,2,4.0,7.23,LS+MCMC,0.0,440.7843755
5492,9353742,Kepler-1523 b,K03867.01,CONFIRMED,0.01514,5497.0,0.886,1,1427.0,1.46,LS+MCMC,0.0,0.938750221
5500,9101496,Kepler-335 c,K01915.02,CONFIRMED,0.013389,5878.0,1.812,2,22.0,2.65,LS+MCMC,0.0,67.844689
5501,11450414,Kepler-347 c,K01992.02,CONFIRMED,0.022773,5592.0,1.451,3,46.0,3.61,LS+MCMC,0.0,27.3214242
5507,12557548,Kepler-1520 b,K03794.01,CONFIRMED,0.318427,4550.0,0.66,1,2040.0,22.95,LS+MCMC,0.0,0.65355361
5508,3657758,Kepler-1065 c,K02034.02,CONFIRMED,0.013622,5668.0,0.868,2,348.0,1.29,LS+MCMC,0.0,2.3702932
5517,9517393,Kepler-1085 b,K02076.02,CONFIRMED,0.055313,6063.0,1.012,2,5.0,6.11,LS+MCMC,0.0,219.3215562
5541,4472818,Kepler-1524 b,K03878.01,CONFIRMED,0.026365,5818.0,0.986,2,16.0,2.84,LS+MCMC,0.0,70.9672087
5546,9411166,Kepler-1016 c,K01922.03,CONFIRMED,0.033986,5741.0,1.136,3,12.0,4.22,LS+MCMC,0.0,105.6552651
5550,12154526,Kepler-1047 c,K02004.02,CONFIRMED,0.007617,5700.0,1.176,3,416.0,0.98,LS+MCMC,0.0,3.18899015
5557,8804845,Kepler-1067 b,K02039.02,CONFIRMED,0.007382,5594.0,0.934,2,1656.0,0.75,LS+MCMC,0.0,0.762132307
5571,7515679,Kepler-1517 b,K03728.01,CONFIRMED,0.050506,7358.0,4.037,1,238.0,22.27,LS+MCMC,0.0,5.546083089
5583,9351316,Kepler-1086 B c,K02078.02,CONFIRMED,0.041208,4243.0,0.641,2,9.0,2.88,LS+MCMC,0.0,161.515617
